role_category     postings  pct_sql  pct_python  pct_power_bi  pct_tableau  pct_azure  pct_aws  pct_genai_llm
----------------  --------  -------  ----------  ------------  -----------  ---------  -------  -------------
ai_engineer       416       1.7      7.0         0.0           0.2          3.8        2.9      18.0         
business_analyst  284       2.5      0.7         1.1           0.0          0.0        0.0      0.4          
data_analyst      275       12.0     9.5         10.5          7.6          1.5        1.1      2.2          
data_engineer     221       13.1     15.4        0.5           0.5          9.0        7.7      1.4          
data_scientist    89        6.7      12.4        0.0           0.0          3.4        1.1      6.7          
role_category     salary_observations  avg_salary_min  avg_salary_max
----------------  -------------------  --------------  --------------
data_scientist    21                   1392857.0       2552381.0     
ai_engineer       68                   1036176.0       2022500.0     
data_engineer     45                   1000667.0       1887000.0     
data_analyst      41                   622195.0        1125366.0     
business_analyst  39                   613334.0        961542.0      
role_category     city       postings  avg_salary_max  city_rank
----------------  ---------  --------  --------------  ---------
ai_engineer       Hyderabad  5         2660000.0       1        
ai_engineer       Bengaluru  19        2224211.0       2        
ai_engineer       Chennai    5         2100000.0       3        
ai_engineer       Pune       6         2066667.0       4        
ai_engineer       Mumbai     12        1983333.0       5        
ai_engineer       India      17        1780588.0       6        
ai_engineer       Delhi      2         1100000.0       7        
business_analyst  India      4         1925000.0       1        
business_analyst  Ahmedabad  2         1250000.0       2        
business_analyst  Hyderabad  4         1175000.0       3        
business_analyst  Bengaluru  8         1075000.0       4        
business_analyst  Delhi      3         1033333.0       5        
business_analyst  Mumbai     5         960000.0        6        
business_analyst  Surat      2         300000.0        7        
data_analyst      Bengaluru  14        1435714.0       1        
data_analyst      Delhi      4         1175000.0       2        
data_analyst      India      12        1126250.0       3        
data_analyst      Mumbai     2         1100000.0       4        
data_analyst      Noida      2         512500.0        5        
data_engineer     Bengaluru  13        2246154.0       1        
data_engineer     India      14        1841071.0       2        
data_engineer     Hyderabad  5         1640000.0       3        
data_engineer     Pune       4         1575000.0       4        
data_engineer     Ahmedabad  3         1400000.0       5        
data_engineer     Noida      2         1320000.0       6        
data_scientist    Hyderabad  4         3375000.0       1        
data_scientist    India      7         3100000.0       2        
data_scientist    Pune       3         2700000.0       3        
data_scientist    Bengaluru  4         2075000.0       4        
data_scientist    Mumbai     2         650000.0        5        
city                role_category     posting_count
------------------  ----------------  -------------
Bengaluru           ai_engineer       113          
India               ai_engineer       110          
India               data_analyst      79           
Hyderabad           ai_engineer       70           
Bengaluru           data_engineer     68           
Bengaluru           business_analyst  63           
Bengaluru           data_analyst      63           
India               business_analyst  56           
India               data_engineer     54           
Mumbai              business_analyst  45           
Mumbai              ai_engineer       44           
Hyderabad           data_engineer     42           
Hyderabad           business_analyst  37           
India               data_scientist    28           
Hyderabad           data_analyst      23           
Mumbai              data_analyst      23           
Bengaluru           data_scientist    22           
Pune                ai_engineer       22           
Pune                data_engineer     19           
Chennai             business_analyst  18           
Chennai             ai_engineer       17           
Chennai             data_analyst      15           
Pune                business_analyst  15           
Mumbai              data_engineer     12           
Pune                data_analyst      12           
Delhi               ai_engineer       10           
Noida               ai_engineer       10           
Ahmedabad           data_analyst      8            
Noida               business_analyst  8            
Noida               data_analyst      8            
Delhi               data_analyst      7            
Ahmedabad           data_engineer     6            
Delhi               business_analyst  6            
Ahmedabad           data_scientist    5            
Hyderabad           data_scientist    5            
Jaipur              business_analyst  5            
Mumbai              data_scientist    5            
Pune                data_scientist    5            
Gurugram            business_analyst  4            
Gurugram            data_analyst      4            
Kolkata             business_analyst  4            
Kolkata             data_analyst      4            
Noida               data_engineer     4            
Ahmedabad           business_analyst  3            
Chennai             data_engineer     3            
Gurugram            ai_engineer       3            
Jaipur              data_analyst      3            
Maharashtra         ai_engineer       3            
Noida               data_scientist    3            
Surat               business_analyst  3            
Coimbatore          business_analyst  2            
Coimbatore          data_analyst      2            
Coimbatore          data_engineer     2            
Coimbatore          data_scientist    2            
Ernakulam           ai_engineer       2            
Indore              ai_engineer       2            
Jaipur              ai_engineer       2            
Kolkata             ai_engineer       2            
Maharashtra         business_analyst  2            
Nashik              data_analyst      2            
Patiala             data_scientist    2            
Rajpura             data_scientist    2            
Vadodara            data_analyst      2            
Ahmedabad           ai_engineer       1            
Ajmer               data_analyst      1            
Bhopal              business_analyst  1            
Bhopal              data_analyst      1            
Bhopal              data_engineer     1            
Chandigarh          ai_engineer       1            
Chauth Ka Barwara   data_engineer     1            
Chennai             data_scientist    1            
Delhi               data_engineer     1            
Delhi               data_scientist    1            
Faridabad           data_engineer     1            
Gandhinagar         business_analyst  1            
